name,offset,size,shape,dtype
model.decoder.layers.25.self_attn.v_proj.weight,40248832000,26214400,2560x2560,torch.float32
model.decoder.layers.25.self_attn.v_proj.bias,40275046400,10240,2560,torch.float32
model.decoder.layers.25.self_attn.q_proj.weight,40275056640,26214400,2560x2560,torch.float32
model.decoder.layers.25.self_attn.q_proj.bias,40301271040,10240,2560,torch.float32
model.decoder.layers.25.self_attn.out_proj.weight,40301281280,26214400,2560x2560,torch.float32
model.decoder.layers.25.self_attn.out_proj.bias,40327495680,10240,2560,torch.float32
model.decoder.layers.25.self_attn_layer_norm.weight,40327505920,10240,2560,torch.float32
model.decoder.layers.25.self_attn_layer_norm.bias,40327516160,10240,2560,torch.float32
model.decoder.layers.25.fc1.weight,40327526400,104857600,10240x2560,torch.float32
model.decoder.layers.25.fc1.bias,40432384000,40960,10240,torch.float32
model.decoder.layers.25.fc2.weight,40432424960,104857600,2560x10240,torch.float32
model.decoder.layers.25.fc2.bias,40537282560,10240,2560,torch.float32
model.decoder.layers.25.final_layer_norm.weight,40537292800,10240,2560,torch.float32
model.decoder.layers.25.final_layer_norm.bias,40537303040,10240,2560,torch.float32
model.decoder.layers.26.self_attn.k_proj.weight,40537313280,26214400,2560x2560,torch.float32
model.decoder.layers.26.self_attn.k_proj.bias,40563527680,10240,2560,torch.float32
model.decoder.layers.26.self_attn.v_proj.weight,40563537920,26214400,2560x2560,torch.float32
model.decoder.layers.26.self_attn.v_proj.bias,40589752320,10240,2560,torch.float32
model.decoder.layers.26.self_attn.q_proj.weight,40589762560,26214400,2560x2560,torch.float32
model.decoder.layers.26.self_attn.q_proj.bias,40615976960,10240,2560,torch.float32
model.decoder.layers.26.self_attn.out_proj.weight,40615987200,26214400,2560x2560,torch.float32
model.decoder.layers.26.self_attn.out_proj.bias,40642201600,10240,2560,torch.float32
model.decoder.layers.26.self_attn_layer_norm.weight,40642211840,10240,2560,torch.float32
model.decoder.layers.26.self_attn_layer_norm.bias,40642222080,10240,2560,torch.float32
model.decoder.layers.26.fc1.weight,40642232320,104857600,10240x2560,torch.float32
model.decoder.layers.26.fc1.bias,40747089920,40960,10240,torch.float32
model.decoder.layers.26.fc2.weight,40747130880,104857600,2560x10240,torch.float32
model.decoder.layers.26.fc2.bias,40851988480,10240,2560,torch.float32
model.decoder.layers.26.final_layer_norm.weight,40851998720,10240,2560,torch.float32
model.decoder.layers.26.final_layer_norm.bias,40852008960,10240,2560,torch.float32
model.decoder.layers.27.self_attn.k_proj.weight,40852019200,26214400,2560x2560,torch.float32
model.decoder.layers.27.self_attn.k_proj.bias,40878233600,10240,2560,torch.float32
model.decoder.layers.27.self_attn.v_proj.weight,40878243840,26214400,2560x2560,torch.float32
model.decoder.layers.27.self_attn.v_proj.bias,40904458240,10240,2560,torch.float32
model.decoder.layers.27.self_attn.q_proj.weight,40904468480,26214400,2560x2560,torch.float32
model.decoder.layers.27.self_attn.q_proj.bias,40930682880,10240,2560,torch.float32
